tournament,date,average_driving_distance
Bob Hope Classic,1984-01-15,245.961038961039
Phoenix Open,1984-01-22,269.8305555555554
Isuzu-Andy Williams San Diego Open,1984-01-29,273.6644736842104
Bing Crosby National Pro-Am,1984-02-05,256.5737704918032
Hawaiian Open,1984-02-12,263.9892857142857
Los Angeles Open,1984-02-19,251.3999999999999
Honda Classic,1984-03-04,255.2829268292682
Doral-Eastern Open,1984-03-11,256.0013513513514
Bay Hill Classic,1984-03-18,255.41369863013685
USF&G Classic,1984-03-25,256.7399999999999
Tournament Players Championship,1984-04-01,251.78309859154922
Greater Greensboro Open,1984-04-08,253.49315068493135
Masters Tournament,1984-04-15,248.44468085106382
Sea Pines Heritage,1984-04-22,249.4698795180721
Houston Coca-Cola Open,1984-04-29,258.1256756756755
MONY Tournament of Champions,1984-05-06,254.82571428571433
Byron Nelson Golf Classic,1984-05-13,270.53947368421035
Colonial National Invitation,1984-05-20,263.17499999999984
Memorial Tournament,1984-05-27,247.44929577464785
Kemper Open,1984-06-03,279.73589743589736
Manufacturers Hanover Westchester Classic,1984-06-10,247.62602739726017
U.S. Open Championship,1984-06-17,255.81746031746033
Georgia-Pacific Atlanta Golf Classic,1984-06-24,268.1724637681158
Canadian Open,1984-07-01,275.52666666666664
Western Open,1984-07-08,265.01571428571424
Anheuser-Busch Golf Classic,1984-07-15,258.44805194805184
Miller High Life QCO,1984-07-22,267.4971428571428
Sammy Davis Jr.-Greater Hartford Open,1984-07-29,249.75949367088597
Danny Thomas Memphis Classic,1984-08-05,259.6934210526314
Buick Open,1984-08-12,260.07738095238085
PGA Championship,1984-08-19,261.9171428571427
NEC World Series of Golf,1984-08-26,262.4341463414634
B.C. Open,1984-09-02,263.5054794520547
Bank of Boston Classic,1984-09-09,258.18947368421044
Greater Milwaukee Open,1984-09-16,258.3285714285713
Panasonic Las Vegas Invitational,1984-09-23,272.0421052631579
Lajet Golf Classic,1984-09-30,256.0146067415729
Texas Open,1984-10-07,262.5986666666665
Southern Open,1984-10-14,276.8181818181818
Walt Disney World Golf Classic,1984-10-21,257.3488095238093
Pensacola Open,1984-10-28,254.01621621621604
Bob Hope Classic,1985-01-13,255.61466666666675
Phoenix Open,1985-01-20,262.71975308641953
Los Angeles Open,1985-01-27,256.2057142857141
Bing Crosby National Pro-Am,1985-02-03,248.02063492063482
Hawaiian Open,1985-02-10,263.5243902439023
Isuzu-Andy Williams San Diego Open,1985-02-17,267.68243243243234
Doral-Eastern Open,1985-02-24,259.74197530864194
Honda Classic,1985-03-03,255.6154929577464
Hertz Bay Hill Classic,1985-03-10,245.24459459459453
USF&G Classic,1985-03-17,251.3551282051282
Panasonic Las Vegas Invitational,1985-03-24,271.53999999999996
Tournament Players Championship,1985-03-31,264.29729729729735
Greater Greensboro Open,1985-04-07,271.68701298701285
Masters Tournament,1985-04-14,267.74237288135595
Sea Pines Heritage,1985-04-21,244.26986301369854
Houston Open,1985-04-28,263.47432432432424
MONY Tournament of Champions,1985-05-05,251.96923076923088
Byron Nelson Golf Classic,1985-05-12,256.4320512820512
Colonial National Invitation,1985-05-19,269.2902777777777
Memorial Tournament,1985-05-26,260.47638888888883
Kemper Open,1985-06-02,272.25555555555536
Manufacturers Hanover Westchester Classic,1985-06-09,246.25584415584413
U.S. Open Championship,1985-06-16,259.79538461538453
Georgia-Pacific Atlanta Golf Classic,1985-06-23,260.15428571428555
St. Jude Memphis Classic,1985-06-30,266.35731707317063
Canadian Open,1985-07-07,262.4328767123286
Anheuser-Busch Golf Classic,1985-07-14,251.5123287671233
Lite Quad Cities Open,1985-07-21,266.19571428571425
Canon Sammy Davis Jr.-Greater Hartford Open,1985-07-28,259.79999999999995
Western Open,1985-08-04,262.9684210526315
PGA Championship,1985-08-11,290.36533333333324
Buick Open,1985-08-18,263.246987951807
NEC World Series of Golf,1985-08-25,271.070731707317
B.C. Open,1985-09-01,254.60526315789465
Bank of Boston Classic,1985-09-08,258.2658227848101
Greater Milwaukee Open,1985-09-15,256.15833333333325
Southwest Golf Classic,1985-09-22,263.7444444444444
