tournament,date,average_driving_distance
Valero Texas Open,2004-09-19,299.026923076923
84 LUMBER Classic,2004-09-26,291.5148648648648
World Golf Championships-American Express Championship,2004-10-03,259.4941176470587
Southern Farm Bureau Classic,2004-10-03,291.39428571428556
Michelin Championship at Las Vegas,2004-10-10,298.5874999999999
Chrysler Classic of Greensboro,2004-10-17,287.9285714285712
FUNAI Classic at the WALT DISNEY WORLD Resort,2004-10-24,281.781395348837
Chrysler Championship,2004-10-31,273.6499999999999
THE TOUR Championship presented by Coca-Cola,2004-11-07,283.17241379310343
Mercedes Championships,2005-01-09,276.43870967741935
Sony Open in Hawaii,2005-01-16,280.6615384615383
Buick Invitational,2005-01-23,287.5345679012345
Bob Hope Chrysler Classic,2005-01-30,284.08589743589755
FBR Open,2005-02-06,300.0883116883116
AT&T Pebble Beach National Pro-Am,2005-02-13,264.6171875
Chrysler Classic of Tucson,2005-02-27,293.66857142857134
Ford Championship at Doral,2005-03-06,280.810975609756
The Honda Classic,2005-03-13,277.89999999999986
Bay Hill Invitational Presented by MasterCard,2005-03-20,273.45797101449267
THE PLAYERS Championship,2005-03-27,272.86951219512184
BellSouth Classic,2005-04-03,291.85866666666675
Masters Tournament,2005-04-10,273.1499999999999
MCI Heritage,2005-04-17,274.19199999999995
Shell Houston Open,2005-04-24,294.4461538461538
Zurich Classic of New Orleans,2005-05-01,288.67710843373493
Wachovia Championship,2005-05-08,298.1164556962024
EDS Byron Nelson Championship,2005-05-15,290.9276315789471
Bank of America Colonial,2005-05-22,302.38333333333316
FedEx St. Jude Classic,2005-05-29,295.60135135135124
the Memorial Tournament,2005-06-05,289.16075949367075
Booz Allen Classic,2005-06-12,296.3528571428569
U.S. Open Championship,2005-06-19,293.4493975903614
Barclays Classic,2005-06-26,279.35277777777765
Cialis Western Open,2005-07-03,289.21428571428555
John Deere Classic,2005-07-10,299.0092105263158
The Open Championship,2005-07-17,315.66499999999985
B.C. Open,2005-07-17,288.9974025974025
U.S. Bank Championship in Milwaukee,2005-07-24,282.6289473684209
Buick Open,2005-07-31,291.03924050632895
PGA Championship,2005-08-14,296.4835443037973
Reno-Tahoe Open,2005-08-21,309.5055555555554
World Golf Championships-NEC Invitational,2005-08-21,307.4357142857142
Buick Championship,2005-08-28,289.33246753246755
Deutsche Bank Championship,2005-09-05,296.1467532467531
Bell Canadian Open,2005-09-11,292.77123287671225
84 LUMBER Classic,2005-09-18,298.22465753424643
Valero Texas Open,2005-09-25,302.3878378378377
Chrysler Classic of Greensboro,2005-10-02,288.09220779220766
World Golf Championships-American Express Championship,2005-10-09,294.40724637681154
Michelin Championship at Las Vegas,2005-10-16,300.6817073170731
FUNAI Classic at the WALT DISNEY WORLD Resort,2005-10-23,281.690410958904
Chrysler Championship,2005-10-30,284.59295774647865
Southern Farm Bureau Classic,2005-11-06,286.3013333333333
THE TOUR Championship presented by Coca-Cola,2005-11-06,294.7379310344828
Mercedes Championships,2006-01-08,255.37142857142857
Sony Open in Hawaii,2006-01-15,294.70731707317077
Bob Hope Chrysler Classic,2006-01-22,288.73376623376623
Buick Invitational,2006-01-29,285.08292682926833
FBR Open,2006-02-05,299.012676056338
AT&T Pebble Beach National Pro-Am,2006-02-12,274.8388059701491
Nissan Open,2006-02-19,284.7061728395061
Chrysler Classic of Tucson,2006-02-26,298.0986111111111
Ford Championship at Doral,2006-03-05,289.29166666666646
The Honda Classic,2006-03-12,303.1808219178081
Bay Hill Invitational Presented by MasterCard,2006-03-19,284.70833333333314
THE PLAYERS Championship,2006-03-26,282.85405405405396
BellSouth Classic,2006-04-02,292.3860759493669
Masters Tournament,2006-04-09,283.2404255319149
Verizon Heritage,2006-04-16,275.6763157894737
Shell Houston Open,2006-04-23,289.4024390243902
Zurich Classic of New Orleans,2006-04-30,292.51971830985894
Wachovia Championship,2006-05-07,294.12191780821917
EDS Byron Nelson Championship,2006-05-14,293.1687499999998
Bank of America Colonial,2006-05-21,298.79999999999995
FedEx St. Jude Classic,2006-05-28,294.48648648648646
the Memorial Tournament,2006-06-04,274.56351351351344
Barclays Classic,2006-06-11,275.66785714285703
U.S. Open Championship,2006-06-18,292.4730158730158
Booz Allen Classic,2006-06-25,287.4791666666666
Buick Championship,2006-07-02,277.99863013698626
Cialis Western Open,2006-07-09,293.13132530120464
John Deere Classic,2006-07-16,295.0862500000001
The Open Championship,2006-07-23,296.59014084507027
B.C. Open presented by Turning Stone Resort,2006-07-23,292.55833333333317
U.S. Bank Championship in Milwaukee,2006-07-30,299.5999999999998
Buick Open,2006-08-06,285.9822784810127
PGA Championship,2006-08-20,287.91285714285704
World Golf Championships-Bridgestone Invitational,2006-08-27,307.2263157894735
Reno-Tahoe Open,2006-08-27,311.7948051948051
Deutsche Bank Championship,2006-09-04,279.8149999999998
Canadian Open,2006-09-10,285.8155844155844
84 LUMBER Classic,2006-09-17,281.4679012345678
Valero Texas Open,2006-09-24,302.36923076923074
Southern Farm Bureau Classic,2006-10-01,291.6087499999998
World Golf Championships-American Express Championship,2006-10-01,283.81666666666666
Chrysler Classic of Greensboro,2006-10-08,276.24736842105256
Frys.com Open,2006-10-15,297.79999999999984
FUNAI Classic at the WALT DISNEY WORLD Resort,2006-10-22,301.6783783783783
Chrysler Championship,2006-10-29,277.40857142857135
THE TOUR Championship presented by Coca-Cola,2006-11-05,283.2148148148148
Mercedes-Benz Championship,2007-01-07,255.19090909090906
Sony Open in Hawaii,2007-01-14,295.1694444444443
Bob Hope Chrysler Classic,2007-01-21,284.78552631578947
Buick Invitational,2007-01-28,292.0712328767122
FBR Open,2007-02-04,289.69589041095867
AT&T Pebble Beach National Pro-Am,2007-02-11,269.1516666666666
Nissan Open,2007-02-18,292.6481012658227
The Honda Classic,2007-03-04,291.2986301369862
PODS Championship,2007-03-11,276.4710526315788
Arnold Palmer Invitational presented by MasterCard,2007-03-18,277.6217948717948
World Golf Championships-CA Championship,2007-03-25,274.10833333333323
Shell Houston Open,2007-04-01,288.37179487179475
Masters Tournament,2007-04-08,275.2233333333332
Verizon Heritage,2007-04-15,274.6914285714284
Zurich Classic of New Orleans,2007-04-22,279.37764705882336
EDS Byron Nelson Championship,2007-04-29,287.77808219178075
Wachovia Championship,2007-05-06,295.7190476190476
THE PLAYERS Championship,2007-05-13,287.039240506329
AT&T Classic,2007-05-20,302.9901408450705
Crowne Plaza Invitational at Colonial,2007-05-27,282.9442857142857
the Memorial Tournament presented by Morgan Stanley,2007-06-03,290.08873239436616
Stanford St. Jude Championship,2007-06-10,293.44624999999996
U.S. Open Championship,2007-06-17,292.5333333333333
Travelers Championship,2007-06-24,288.9455696202532
Buick Open,2007-07-01,296.03766233766214
AT&T National,2007-07-08,299.3783783783782
John Deere Classic,2007-07-15,296.9986111111109
U.S. Bank Championship in Milwaukee,2007-07-22,299.23380281690135
The Open Championship,2007-07-22,283.8914285714283
Canadian Open presented by Franklin Templeton Investments,2007-07-29,301.7807692307692
World Golf Championships-Bridgestone Invitational,2007-08-05,307.69634146341446
Reno-Tahoe Open,2007-08-05,308.9179487179486
PGA Championship,2007-08-12,303.7999999999999
Wyndham Championship,2007-08-19,293.1116279069767
The Barclays,2007-08-26,276.97333333333324
Deutsche Bank Championship,2007-09-03,295.2093333333333
BMW Championship,2007-09-09,287.90923076923065
THE TOUR Championship presented by Coca-Cola,2007-09-16,286.5100000000001
Turning Stone Resort Championship,2007-09-23,295.39999999999986
Viking Classic,2007-09-30,289.28732394366193
Valero Texas Open,2007-10-07,298.5512820512817
Frys.com Open benefiting Shriners Hospitals for Children,2007-10-14,305.70240963855406
Fry's Electronics Open,2007-10-21,296.4027027027026
Ginn sur Mer Classic at Tesoro,2007-10-28,267.1041666666667
Children's Miracle Network Classic presented by Wal-Mart,2007-11-04,271.4943181818181
Mercedes-Benz Championship,2008-01-06,255.78387096774196
Sony Open in Hawaii,2008-01-13,295.4117647058822
Bob Hope Chrysler Classic,2008-01-20,291.475
Buick Invitational,2008-01-27,277.94999999999993
FBR Open,2008-02-03,293.24347826086955
AT&T Pebble Beach National Pro-Am,2008-02-10,267.8816666666666
Northern Trust Open,2008-02-17,290.5461538461538
The Honda Classic,2008-03-02,280.99999999999983
PODS Championship,2008-03-09,270.5056338028167
Arnold Palmer Invitational presented by MasterCard,2008-03-16,281.3521126760563
World Golf Championships-CA Championship,2008-03-23,287.9493506493507
Zurich Classic of New Orleans,2008-03-30,278.46874999999994
Shell Houston Open,2008-04-06,289.8666666666666
Masters Tournament,2008-04-13,277.491111111111
Verizon Heritage,2008-04-20,275.6797297297295
EDS Byron Nelson Championship,2008-04-27,285.8855263157893
Wachovia Championship,2008-05-04,296.76666666666665
THE PLAYERS Championship,2008-05-11,284.46081081081076
AT&T Classic,2008-05-18,283.3289473684208
Crowne Plaza Invitational at Colonial,2008-05-25,299.93013698630114
the Memorial Tournament presented by Morgan Stanley,2008-06-01,280.3184210526315
Stanford St. Jude Championship,2008-06-08,294.2643835616438
U.S. Open Championship,2008-06-15,292.8025316455695
Travelers Championship,2008-06-22,281.0708333333332
Buick Open,2008-06-29,296.2706666666665
AT&T National,2008-07-06,292.48028169014077
John Deere Classic,2008-07-13,287.7631578947368
U.S. Bank Championship in Milwaukee,2008-07-20,293.60129870129845
The Open Championship,2008-07-20,291.47590361445776
RBC Canadian Open,2008-07-27,282.4267605633803
World Golf Championships-Bridgestone Invitational,2008-08-03,296.07999999999987
Legends Reno-Tahoe Open,2008-08-03,311.9295774647886
PGA Championship,2008-08-10,294.4917808219177
Wyndham Championship,2008-08-17,302.8641025641023
The Barclays,2008-08-24,279.6819444444443
Deutsche Bank Championship,2008-09-01,293.52083333333326
BMW Championship,2008-09-07,291.225
Viking Classic,2008-09-21,285.21794871794856
THE TOUR Championship presented by Coca-Cola,2008-09-28,293.32000000000005
Turning Stone Resort Championship,2008-10-05,273.2859154929577
Valero Texas Open,2008-10-12,303.0746666666665
Justin Timberlake Shriners Hospitals for Children Open,2008-10-19,310.0394366197182
Frys.com Open,2008-10-26,292.3802816901407
Ginn sur Mer Classic,2008-11-02,279.2671232876711
Children's Miracle Network Classic presented by Wal-Mart,2008-11-09,280.0142857142856
Mercedes-Benz Championship,2009-01-11,278.6272727272727
Sony Open in Hawaii,2009-01-18,284.41923076923064
The 50th Bob Hope Classic hosted by Arnold Palmer,2009-01-25,293.618918918919
FBR Open,2009-02-01,301.2830985915491
Buick Invitational,2009-02-08,279.9408450704224
Northern Trust Open,2009-02-22,286.04189189189185
The Honda Classic,2009-03-08,289.1763888888888
World Golf Championships-CA Championship,2009-03-15,290.19367088607595
Transitions Championship,2009-03-22,280.358904109589
Arnold Palmer Invitational presented by MasterCard,2009-03-29,280.19041095890395
Shell Houston Open,2009-04-05,295.74358974358967
Masters Tournament,2009-04-12,279.96
Verizon Heritage,2009-04-19,272.3102564102564
Zurich Classic of New Orleans,2009-04-26,286.86111111111103
Quail Hollow Championship,2009-05-03,301.1878378378377
THE PLAYERS Championship,2009-05-10,287.53428571428566
Valero Texas Open,2009-05-17,297.3946666666665
HP Byron Nelson Championship,2009-05-24,297.6445945945945
Crowne Plaza Invitational at Colonial,2009-05-31,293.7364864864863
the Memorial Tournament,2009-06-07,284.49610389610393
St. Jude Classic presented by FedEx,2009-06-14,287.57499999999965
U.S. Open Championship,2009-06-21,276.0866666666667
Travelers Championship,2009-06-28,281.875
AT&T National,2009-07-05,296.33947368421036
John Deere Classic,2009-07-12,289.6276923076923
U.S. Bank Championship in Milwaukee,2009-07-19,296.9249999999999
The Open Championship,2009-07-19,289.5369863013697
RBC Canadian Open,2009-07-26,278.56349206349194
Buick Open,2009-08-02,300.69166666666655
Legends Reno-Tahoe Open,2009-08-02,300.69166666666655
World Golf Championships-Bridgestone Invitational,2009-08-09,307.02405063291127
PGA Championship,2009-08-16,291.0544303797469
Wyndham Championship,2009-08-23,293.50714285714264
The Barclays,2009-08-30,278.0077922077921
Deutsche Bank Championship,2009-09-07,293.64657534246555
BMW Championship,2009-09-13,289.8985294117647
THE TOUR Championship presented by Coca-Cola,2009-09-27,288.34
Turning Stone Resort Championship,2009-10-04,268.04933333333327
Justin Timberlake Shriners Hospitals for Children Open,2009-10-18,307.8561643835615
Frys.com Open,2009-10-25,290.7896103896102
Children's Miracle Network Classic,2009-11-15,281.7887323943661
SBS Championship,2010-01-10,279.0821428571429
Sony Open in Hawaii,2010-01-17,294.08309859154923
Bob Hope Classic,2010-01-24,277.0202702702703
Farmers Insurance Open,2010-01-31,276.2769230769231
Northern Trust Open,2010-02-07,270.873611111111
AT&T Pebble Beach National Pro-Am,2010-02-14,270.6956521739129
Mayakoba Golf Classic at Riviera Maya-Cancun,2010-02-14,270.7531645569619
Waste Management Phoenix Open,2010-02-28,292.6935897435896
Puerto Rico Open presented by Banco Popular,2010-03-07,282.2445945945945
The Honda Classic,2010-03-07,282.2445945945946
World Golf Championships-CA Championship,2010-03-14,289.58676470588216
Transitions Championship,2010-03-21,270.3112676056336
Arnold Palmer Invitational presented by MasterCard,2010-03-28,283.51066666666657
Shell Houston Open,2010-04-04,292.4083333333333
Masters Tournament,2010-04-11,282.63541666666663
Verizon Heritage,2010-04-18,273.6569444444443
Zurich Classic of New Orleans,2010-04-25,285.72972972972974
Quail Hollow Championship,2010-05-02,296.52727272727265
THE PLAYERS Championship,2010-05-09,285.8478260869565
Valero Texas Open,2010-05-16,287.2444444444443
HP Byron Nelson Championship,2010-05-23,297.93943661971815
Crowne Plaza Invitational at Colonial,2010-05-30,293.5828947368421
the Memorial Tournament presented by Nationwide Insurance,2010-06-06,271.05070422535204
St. Jude Classic presented by Smith & Nephew,2010-06-13,294.11830985915486
U.S. Open Championship,2010-06-20,289.71686746987945
Travelers Championship,2010-06-27,287.98441558441544
AT&T National,2010-07-04,295.81830985915485
John Deere Classic,2010-07-11,292.06486486486483
Reno-Tahoe Open,2010-07-18,309.494366197183
The Open Championship,2010-07-18,309.49436619718296
RBC Canadian Open,2010-07-25,290.18493150684924
Turning Stone Resort Championship,2010-08-01,302.4258823529411
The Greenbrier Classic,2010-08-01,302.36233766233755
World Golf Championships-Bridgestone Invitational,2010-08-08,296.05624999999986
PGA Championship,2010-08-15,287.22957746478875
Wyndham Championship,2010-08-22,292.2833333333333
The Barclays,2010-08-29,276.775
Deutsche Bank Championship,2010-09-06,288.76056338028167
BMW Championship,2010-09-12,293.10142857142847
THE TOUR Championship presented by Coca-Cola,2010-09-26,295.6433333333334
Viking Classic,2010-10-03,304.81285714285696
The McGladrey Classic,2010-10-10,285.7520547945204
Frys.com Open,2010-10-17,283.06388888888864
Justin Timberlake Shriners Hospitals for Children Open,2010-10-24,296.1459459459458
Children's Miracle Network Classic,2010-11-14,284.89324324324315
Hyundai Tournament of Champions,2011-01-09,278.1156250000001
Sony Open in Hawaii,2011-01-16,286.08035714285705
Bob Hope Classic,2011-01-23,289.05616438356157
Farmers Insurance Open,2011-01-30,287.6784810126582
Waste Management Phoenix Open,2011-02-06,301.68648648648644
AT&T Pebble Beach National Pro-Am,2011-02-13,287.03098591549286
Northern Trust Open,2011-02-20,277.66623376623363
Mayakoba Golf Classic at Riviera Maya-Cancun,2011-02-20,277.6662337662337
The Honda Classic,2011-03-06,281.24736842105256
Puerto Rico Open presented by seepuertorico.com,2011-03-06,281.2473684210525
World Golf Championships-Cadillac Championship,2011-03-13,288.21969696969694
Transitions Championship,2011-03-20,279.373611111111
Arnold Palmer Invitational presented by MasterCard,2011-03-27,282.75616438356155
Shell Houston Open,2011-04-03,294.62399999999985
Masters Tournament,2011-04-10,285.2122448979591
Valero Texas Open,2011-04-17,290.42820512820504
The Heritage,2011-04-24,278.5931506849315
Zurich Classic of New Orleans,2011-05-01,290.0718309859154
Wells Fargo Championship,2011-05-08,299.71408450704234
THE PLAYERS Championship,2011-05-15,282.48918918918906
Crowne Plaza Invitational at Colonial,2011-05-22,296.3057142857141
HP Byron Nelson Championship,2011-05-29,298.5202702702701
the Memorial Tournament presented by Nationwide Insurance,2011-06-05,296.11780821917785
FedEx St. Jude Classic,2011-06-12,293.29444444444437
U.S. Open,2011-06-19,297.8277777777778
Travelers Championship,2011-06-26,281.50270270270266
AT&T National,2011-07-03,298.6315789473683
John Deere Classic,2011-07-10,308.60821917808204
The Open Championship,2011-07-17,289.0918918918918
Viking Classic,2011-07-17,289.09189189189186
RBC Canadian Open,2011-07-24,284.6618421052631
The Greenbrier Classic,2011-07-31,306.75599999999986
Reno-Tahoe Open,2011-07-31,306.75599999999986
World Golf Championships-Bridgestone Invitational,2011-08-07,297.9144736842104
PGA Championship,2011-08-14,295.75866666666656
Wyndham Championship,2011-08-21,302.9561643835616
Deutsche Bank Championship,2011-09-05,299.59358974358963
BMW Championship,2011-09-18,295.7768115942028
TOUR Championship by Coca-Cola,2011-09-25,295.29666666666674
Justin Timberlake Shriners Hospitals for Children Open,2011-10-02,306.835135135135
Frys.com Open,2011-10-09,277.1070422535212
The McGladrey Classic,2011-10-16,283.7399999999999
Children's Miracle Network Hospitals Classic,2011-10-23,279.29599999999994
Hyundai Tournament of Champions,2012-01-09,270.38518518518526
Sony Open in Hawaii,2012-01-15,298.44571428571425
Humana Challenge in partnership with the Clinton Foundation,2012-01-22,292.0626666666667
Farmers Insurance Open,2012-01-29,287.9424657534245
Waste Management Phoenix Open,2012-02-05,300.61923076923074
AT&T Pebble Beach National Pro-Am,2012-02-12,283.08382352941163
Northern Trust Open,2012-02-19,290.7473684210524
Mayakoba Golf Classic,2012-02-19,290.74736842105256
The Honda Classic,2012-03-04,281.89868421052614
Puerto Rico Open presented by seepuertorico.com,2012-03-04,281.8986842105262
World Golf Championships-Cadillac Championship,2012-03-11,287.17638888888877
Transitions Championship,2012-03-18,281.79480519480506
Arnold Palmer Invitational presented by MasterCard,2012-03-25,284.1135135135133
Shell Houston Open,2012-04-01,286.32
Masters Tournament,2012-04-08,279.9709677419355
RBC Heritage,2012-04-15,278.3957746478873
Valero Texas Open,2012-04-22,286.3552631578947
Zurich Classic of New Orleans,2012-04-29,291.2985915492955
Wells Fargo Championship,2012-05-06,294.22972972972957
THE PLAYERS Championship,2012-05-13,284.798611111111
HP Byron Nelson Championship,2012-05-20,302.0887323943661
Crowne Plaza Invitational at Colonial,2012-05-27,293.9763888888887
the Memorial Tournament presented by Nationwide Insurance,2012-06-03,279.6070422535212
FedEx St. Jude Classic,2012-06-10,294.5184210526315
U.S. Open,2012-06-17,285.5194444444444
Travelers Championship,2012-06-24,291.19285714285706
AT&T National,2012-07-01,299.0287671232876
The Greenbrier Classic,2012-07-08,305.8473684210524
John Deere Classic,2012-07-15,296.4434210526313
True South Classic,2012-07-22,275.6040540540539
The Open Championship,2012-07-22,275.60405405405396
RBC Canadian Open,2012-07-29,295.00886075949364
Reno-Tahoe Open,2012-07-29,295.00886075949364
World Golf Championships-Bridgestone Invitational,2012-08-05,314.13466666666653
PGA Championship,2012-08-12,284.5958333333333
Wyndham Championship,2012-08-19,298.4626666666667
Deutsche Bank Championship,2012-09-03,292.9038461538461
BMW Championship,2012-09-09,288.4742857142856
TOUR Championship by Coca-Cola,2012-09-23,297.45000000000005
Justin Timberlake Shriners Hospitals for Children Open,2012-10-07,307.19718309859155
Frys.com Open,2012-10-14,284.17777777777764
The McGladrey Classic,2012-10-21,285.3084507042252
Children's Miracle Network Hospitals Classic,2012-11-11,283.4064102564101
Hyundai Tournament of Champions,2013-01-07,254.15666666666667
Sony Open in Hawaii,2013-01-13,297.36756756756745
Humana Challenge in partnership with the Clinton Foundation,2013-01-20,294.88765432098734
Farmers Insurance Open,2013-01-27,283.87790697674404
Waste Management Phoenix Open,2013-02-03,291.09594594594586
AT&T Pebble Beach National Pro-Am,2013-02-10,280.36142857142846
Northern Trust Open,2013-02-17,292.17260273972596
The Honda Classic,2013-03-03,285.596
Puerto Rico Open presented by seepuertorico.com,2013-03-03,285.59600000000006
World Golf Championships-Cadillac Championship,2013-03-10,290.3446153846153
Tampa Bay Championship presented by EverBank,2013-03-17,274.86883116883115
Arnold Palmer Invitational presented by MasterCard,2013-03-24,283.1407894736842
Shell Houston Open,2013-03-31,292.6208333333332
Valero Texas Open,2013-04-07,288.9739726027397
Masters Tournament,2013-04-14,288.6803278688524
RBC Heritage,2013-04-21,278.9914285714285
Zurich Classic of New Orleans,2013-04-28,285.29154929577453
Wells Fargo Championship,2013-05-05,276.23333333333323
THE PLAYERS Championship,2013-05-12,284.6805194805194
HP Byron Nelson Championship,2013-05-19,299.3528571428571
Crowne Plaza Invitational at Colonial,2013-05-26,291.0311688311688
the Memorial Tournament presented by Nationwide Insurance,2013-06-02,282.4506849315068
FedEx St. Jude Classic,2013-06-09,300.1922077922078
U.S. Open,2013-06-16,290.3589041095889
Travelers Championship,2013-06-23,290.15540540540525
AT&T National,2013-06-30,297.0961038961038
The Greenbrier Classic,2013-07-07,295.58428571428567
John Deere Classic,2013-07-14,307.5124999999999
Sanderson Farms Championship,2013-07-21,280.8092105263158
The Open Championship,2013-07-21,280.8092105263158
RBC Canadian Open,2013-07-28,293.23150684931494
Reno-Tahoe Open,2013-07-28,293.4129870129869
World Golf Championships-Bridgestone Invitational,2013-08-04,295.8575342465752
PGA Championship,2013-08-11,277.92799999999994
Wyndham Championship,2013-08-18,289.7054794520547
The Barclays,2013-08-25,293.4364864864864
Deutsche Bank Championship,2013-09-02,287.9986842105263
BMW Championship,2013-09-15,270.6771428571428
TOUR Championship by Coca-Cola,2013-09-22,295.9300000000001
Frys.com Open,2013-10-13,296.4563380281689
Shriners Hospitals for Children Open,2013-10-20,305.9183098591548
The McGladrey Classic,2013-11-10,276.6958904109589
OHL Classic at Mayakoba,2013-11-17,279.00259740259725
Hyundai Tournament of Champions,2014-01-06,272.88000000000005
Sony Open in Hawaii,2014-01-12,294.9211267605634
Humana Challenge in partnership with the Clinton Foundation,2014-01-19,291.7416666666667
Farmers Insurance Open,2014-01-26,285.808219178082
Waste Management Phoenix Open,2014-02-02,302.63636363636357
AT&T Pebble Beach National Pro-Am,2014-02-09,276.44126984126984
Northern Trust Open,2014-02-16,291.82987012987
Puerto Rico Open presented by seepuertorico.com,2014-03-02,286.19610389610375
The Honda Classic,2014-03-02,286.3072463768115
World Golf Championships-Cadillac Championship,2014-03-09,294.13134328358205
Valspar Championship,2014-03-16,273.97866666666664
Arnold Palmer Invitational presented by MasterCard,2014-03-23,287.44605263157877
Valero Texas Open,2014-03-30,287.3873239436618
Shell Houston Open,2014-04-06,293.7552631578947
Masters Tournament,2014-04-13,289.96078431372536
RBC Heritage,2014-04-20,273.2628205128204
Zurich Classic of New Orleans,2014-04-27,291.80945945945945
Wells Fargo Championship,2014-05-04,297.2876712328767
THE PLAYERS Championship,2014-05-11,285.0042253521126
HP Byron Nelson Championship,2014-05-18,297.1256756756756
Crowne Plaza Invitational at Colonial,2014-05-25,295.14666666666653
the Memorial Tournament presented by Nationwide Insurance,2014-06-01,296.2592105263157
FedEx St. Jude Classic,2014-06-08,281.7098591549295
U.S. Open,2014-06-15,288.15970149253724
Travelers Championship,2014-06-22,291.7467532467532
Quicken Loans National,2014-06-29,299.3519999999998
The Greenbrier Classic,2014-07-06,296.3391891891891
John Deere Classic,2014-07-13,294.65584415584397
The Open Championship,2014-07-20,283.23472222222205
RBC Canadian Open,2014-07-27,281.2931506849315
Barracuda Championship,2014-07-27,281.29315068493145
World Golf Championships-Bridgestone Invitational,2014-08-03,299.60972222222216
PGA Championship,2014-08-10,289.7904109589039
Wyndham Championship,2014-08-17,301.93766233766235
The Barclays,2014-08-24,278.58285714285705
Deutsche Bank Championship,2014-09-01,295.39726027397256
BMW Championship,2014-09-07,304.4484848484848
TOUR Championship by Coca-Cola,2014-09-14,293.2172413793104
Frys.com Open,2014-10-12,295.7986486486485
Shriners Hospitals for Children Open,2014-10-19,305.80845070422515
The McGladrey Classic,2014-10-26,286.025352112676
OHL Classic at Mayakoba,2014-11-16,281.32236842105243
Hyundai Tournament of Champions,2015-01-12,272.5454545454546
Sony Open in Hawaii,2015-01-18,296.6357142857142
Humana Challenge in partnership with the Clinton Foundation,2015-01-25,291.4861111111111
Waste Management Phoenix Open,2015-02-01,290.24605263157883
Farmers Insurance Open,2015-02-08,289.3716216216215
AT&T Pebble Beach National Pro-Am,2015-02-15,292.66249999999997
Northern Trust Open,2015-02-22,290.73333333333323
Puerto Rico Open,2015-03-01,282.89718309859137
The Honda Classic,2015-03-01,282.8971830985915
World Golf Championships-Cadillac Championship,2015-03-08,297.78904109589035
Valspar Championship,2015-03-15,272.7211267605632
Arnold Palmer Invitational presented by MasterCard,2015-03-22,289.3072463768116
Valero Texas Open,2015-03-29,288.07866666666655
Shell Houston Open,2015-04-05,288.7929577464787
Masters Tournament,2015-04-12,289.53636363636355
RBC Heritage,2015-04-19,278.45394736842087
Zurich Classic of New Orleans,2015-04-26,282.9633802816901
THE PLAYERS Championship,2015-05-10,286.57599999999985
Wells Fargo Championship,2015-05-17,300.5698630136985
Crowne Plaza Invitational at  Colonial,2015-05-24,278.8736111111111
AT&T Byron Nelson,2015-05-31,288.40138888888885
the Memorial Tournament presented by Nationwide,2015-06-07,290.4408450704224
FedEx St. Jude Classic,2015-06-14,293.7506666666666
U.S. Open,2015-06-21,307.756
Travelers Championship,2015-06-28,287.55694444444435
The Greenbrier Classic,2015-07-05,291.6194805194803
John Deere Classic,2015-07-12,278.05342465753415
Barbasol Championship,2015-07-12,278.05342465753415
The Open Championship,2015-07-19,296.08749999999986
RBC Canadian Open,2015-07-26,300.2
Barracuda Championship,2015-08-02,293.65466666666657
Quicken Loans National,2015-08-02,293.6546666666665
World Golf Championships-Bridgestone Invitational,2015-08-09,317.31038961038945
PGA Championship,2015-08-16,291.6324675324675
Wyndham Championship,2015-08-23,297.4681159420288
The Barclays,2015-08-30,302.4263888888888
Deutsche Bank Championship,2015-09-07,297.2040540540541
BMW Championship,2015-09-20,288.0318840579709
TOUR Championship by Coca-Cola,2015-09-27,284.17500000000007
Frys.com Open,2015-10-18,299.62191780821917
Shriners Hospitals for Children Open,2015-10-25,306.4535211267604
OHL Classic at Mayakoba,2015-11-15,277.5064102564101
The RSM Classic,2015-11-22,280.1405405405405
Hyundai Tournament of Champions,2016-01-10,287.74375
Sony Open in Hawaii,2016-01-17,300.8797297297295
CareerBuilder Challenge in partnership with the Clinton Foundation,2016-01-24,295.5942857142856
Farmers Insurance Open,2016-01-31,292.6816901408449
Waste Management Phoenix Open,2016-02-07,295.6724637681158
AT&T Pebble Beach Pro-Am,2016-02-14,290.44202898550714
Northern Trust Open,2016-02-21,285.54210526315774
The Honda Classic,2016-02-28,291.1999999999998
World Golf Championships-Cadillac Championship,2016-03-06,297.1323076923076
Valspar Championship,2016-03-13,289.39999999999986
Puerto Rico Open at Coco Beach,2016-03-20,288.8394736842104
Arnold Palmer Invitational presented by MasterCard,2016-03-20,288.8394736842104
Shell Houston Open,2016-04-03,292.2788732394365
Masters Tournament,2016-04-10,279.8140350877192
RBC Heritage,2016-04-17,280.2959999999999
Valero Texas Open,2016-04-24,284.91267605633794
Zurich Classic of New Orleans,2016-05-01,285.4085365853659
Wells Fargo Championship,2016-05-08,285.0858974358973
THE PLAYERS Championship,2016-05-15,291.44078947368405
AT&T Byron Nelson,2016-05-22,285.4918918918918
DEAN & DELUCA Invitational,2016-05-29,290.24428571428547
the Memorial Tournament presented by Nationwide,2016-06-05,290.0453333333333
FedEx St. Jude Classic,2016-06-12,290.99315068493155
U.S. Open,2016-06-19,288.25820895522384
Quicken Loans National,2016-06-26,291.0166666666664
Barracuda Championship,2016-06-26,290.9439999999998
World Golf Championships-Bridgestone Invitational,2016-07-03,312.72413793103453
Barbasol Championship,2016-07-03,312.72413793103436
The Open Championship,2016-07-17,283.8135802469135
RBC Canadian Open,2016-07-24,310.88749999999993
